Brand,Product,Price,Rating,Total_ratings,Total_reviews,Fit,Pattern
Qugue,Men Regular Fit Printed Cut Away Collar Casual Shirt,299,4.1,"2,225",130,Regular,Printed
Try This,Women Slim Fit Graphic Print Mandarin Collar Casual Shirt,389,3.6,"8,396",289,Slim,Graphic
FUBAR,Men Slim Fit Striped Spread Collar Casual Shirt,279,3.8,"1,161",85,Slim,Striped
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.1,"10,783","1,010",Regular,Printed
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
VTEXX,Men Regular Fit Solid Mandarin Collar Casual Shirt,329,4,289,17,Regular,Solid
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,437,3.9,"6,735",669,Slim,Solid
COMBRAIDED,Men Slim Fit Checkered Slim Collar Casual Shirt,319,3.7,"14,944",947,Slim,Checkered
Tanip,Men Slim Fit Checkered Slim Collar Casual Shirt,289,3.8,"12,862","1,082",Slim,Checkered
COMBRAIDED,Men Regular Fit Striped Spread Collar Casual Shirt,329,3.9,"2,616",153,Regular,Striped
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.1,"10,783","1,010",Regular,Printed
Solbiza,Men Regular Fit Solid Casual Shirt,329,3.7,"2,718",127,Regular,Solid
Try This,Men Slim Fit Color Block Spread Collar Casual Shirt,299,3.9,"49,671","4,800",Slim,Color
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,379,4,"25,142","2,456",Regular,Solid
Pepzo,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.9,"1,71,374","14,214",Regular,Solid
icome,Men Regular Fit Striped Casual Shirt,329,4.1,"2,755",146,Regular,Striped
The Indian Garage Co.,Men Regular Fit Checkered Cut Away Collar Casual Shirt,696,NA,NA,NA,Regular,Checkered
tallwalker,Men Slim Fit Checkered Cut Away Collar Casual Shirt,474,4.1,"1,390",88,Slim,Checkered
Dennis Lingo,Men Slim Fit Striped Slim Collar Casual Shirt,439,4.1,"8,918","1,006",Slim,Striped
TRIPR,Men Regular Fit Color Block Casual Shirt,349,3.9,"32,906","3,514",Regular,Color
PETER ENGLAND,Men Regular Fit Solid Casual Shirt,539,4.4,66,3,Regular,Solid
Dennis Lingo,Men Slim Fit Checkered Slim Collar Casual Shirt,499,4.1,"15,641","1,706",Slim,Checkered
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,379,4,"25,142","2,456",Regular,Solid
allan peter,Men Regular Fit Printed Casual Shirt,339,3.9,"15,569","1,046",Regular,Printed
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,379,4,"25,142","2,456",Regular,Solid
COMBRAIDED,Men Slim Fit Checkered Slim Collar Casual Shirt,299,3.7,"14,944",947,Slim,Checkered
FUBAR,Men Slim Fit Striped Spread Collar Casual Shirt,329,3.8,465,17,Slim,Striped
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.2,855,83,Regular,Printed
HIGHLANDER,Men Slim Fit Printed Casual Shirt,401,4,"1,233",145,Slim,Printed
Allen Solly,Anti-Bacterial Men Slim Fit Solid Cut Away Collar Casual Shirt,764,4,"25,011","2,193",Men,Fit
METRONAUT By Flipkart,Men Slim Fit Checkered Casual Shirt,339,3.9,71,8,Slim,Checkered
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,309,3.8,"56,220","4,852",Slim,Checkered
METRONAUT By Flipkart,Men Slim Fit Checkered Spread Collar Casual Shirt,339,4.2,128,16,Slim,Checkered
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,409,3.8,"2,632",191,Slim,Checkered
BLIVE,Men Regular Fit Color Block Casual Shirt,349,3.7,"5,220",380,Regular,Color
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,419,4.1,"3,244",261,Slim,Printed
FUBAR,Men Slim Fit Washed Mandarin Collar Casual Shirt,419,3.8,"62,743","5,967",Slim,Washed
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
HIGHLANDER,Men Slim Fit Printed Casual Shirt,439,4.1,"2,784",192,Slim,Printed
Plus91,Men Slim Fit Graphic Print Ribbed Collar Casual Shirt,389,4,"37,929","2,236",Slim,Graphic
FUBAR,Men Slim Fit Washed Mandarin Collar Casual Shirt,419,3.8,"62,743","5,967",Slim,Washed
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,379,4,"25,142","2,456",Regular,Solid
Tanip,Men Slim Fit Solid Spread Collar Casual Shirt,329,3.9,"37,201","2,951",Slim,Solid
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,523,3.8,40,7,Slim,Checkered
Majestic Man,Men Slim Fit Solid Spread Collar Casual Shirt,469,3.9,"26,085","2,596",Slim,Solid
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,545,4,"1,273",102,Slim,Checkered
Tanip,Men Slim Fit Solid Spread Collar Casual Shirt,339,3.9,"37,201","2,951",Slim,Solid
HIGHLANDER,Men Slim Fit Solid Spread Collar Casual Shirt,399,4.1,"12,459","1,253",Slim,Solid
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.1,"10,783","1,010",Regular,Printed
icome,Men Regular Fit Printed Cut Away Collar Casual Shirt,329,4.1,"23,266","1,950",Regular,Printed
Plus91,Men Slim Fit Graphic Print Ribbed Collar Casual Shirt,389,4,"37,929","2,236",Slim,Graphic
MOONVELLY,Men Slim Fit Solid Casual Shirt,379,3.9,"16,479","1,300",Slim,Solid
Shivark,Men Regular Fit Solid Mandarin Collar Casual Shirt,384,4,349,12,Regular,Solid
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.6,"13,281","1,098",Regular,Solid
HANUMNTRA,Men Regular Fit Printed Spread Collar Casual Shirt,409,4.1,"14,936","1,555",Regular,Printed
allan peter,Men Regular Fit Printed Casual Shirt,359,3.9,"15,569","1,046",Regular,Printed
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,285",286,Slim,Checkered
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
Majestic Man,Men Slim Fit Military Camouflage Spread Collar Casual Shirt,469,4.2,654,57,Slim,Military
